zona_eleitoral,municipio,estado,brancos,nulos,abstencao,votos_22,votos_13,votos_15,votos_12,votos_44,votos_30,votos_14,votos_16,votos_21,votos_80,votos_27
167,UMBURANAS,BA,98,342,2053,2182.0,5932.0,160.0,123.0,64.0,1.0,7.0,1.0,4.0,3.0,1.0
116,UNA,BA,152,493,4133,3911.0,6485.0,423.0,217.0,165.0,12.0,10.0,,1.0,1.0,
117,URANDI,BA,141,343,3206,1749.0,7707.0,109.0,120.0,40.0,9.0,2.0,1.0,1.0,3.0,1.0
198,URUÇUCA,BA,132,511,4891,4617.0,7916.0,237.0,221.0,159.0,9.0,9.0,2.0,2.0,1.0,2.0
69,UTINGA,BA,75,361,3547,1705.0,7225.0,128.0,176.0,93.0,7.0,2.0,2.0,2.0,1.0,
120,VALENTE,BA,299,637,3565,4440.0,9990.0,360.0,517.0,159.0,18.0,4.0,,6.0,4.0,
31,VALENÇA,BA,1100,2562,13012,13552.0,31207.0,1387.0,994.0,470.0,50.0,28.0,8.0,16.0,10.0,4.0
56,VARZEDO,BA,58,209,1499,1554.0,5045.0,156.0,131.0,53.0,6.0,3.0,,1.0,1.0,2.0
141,VERA CRUZ,BA,412,797,6020,4946.0,19474.0,663.0,427.0,212.0,23.0,9.0,4.0,1.0,5.0,
148,VEREDA,BA,43,168,1808,1353.0,3198.0,91.0,85.0,37.0,5.0,6.0,1.0,,,
40,VITÓRIA DA CONQUISTA,BA,637,1854,8352,9003.0,26203.0,1243.0,793.0,428.0,29.0,40.0,2.0,9.0,,2.0
41,VITÓRIA DA CONQUISTA,BA,1074,2254,16279,34519.0,42070.0,3248.0,2930.0,466.0,266.0,59.0,6.0,57.0,32.0,19.0
39,VITÓRIA DA CONQUISTA,BA,1285,2776,15718,30306.0,43619.0,3138.0,2551.0,626.0,180.0,46.0,12.0,37.0,18.0,13.0
86,VÁRZEA DA ROÇA,BA,204,490,3092,1477.0,5830.0,118.0,206.0,52.0,10.0,5.0,,2.0,2.0,
103,VÁRZEA DO POÇO,BA,66,181,1660,1152.0,3717.0,106.0,135.0,38.0,2.0,,,,2.0,3.0
55,VÁRZEA NOVA,BA,105,348,2721,1613.0,5571.0,113.0,227.0,71.0,6.0,10.0,,,5.0,1.0
69,WAGNER,BA,58,198,2022,969.0,3884.0,80.0,83.0,38.0,2.0,3.0,,1.0,2.0,
98,WANDERLEY,BA,64,165,2445,2201.0,5814.0,86.0,80.0,40.0,3.0,5.0,1.0,2.0,,
197,WENCESLAU GUIMARÃES,BA,133,423,4211,2981.0,8412.0,291.0,240.0,158.0,1.0,9.0,3.0,3.0,1.0,1.0
68,XIQUE-XIQUE,BA,248,986,9769,4677.0,19828.0,332.0,599.0,273.0,7.0,15.0,1.0,3.0,3.0,3.0
74,ÁGUA FRIA,BA,140,555,3305,1461.0,7125.0,135.0,262.0,61.0,6.0,8.0,2.0,1.0,,
111,ÉRICO CARDOSO,BA,96,354,2440,1029.0,4619.0,89.0,136.0,54.0,5.0,6.0,2.0,,2.0,
26,ABAIARA,CE,73,152,1288,594.0,4870.0,29.0,183.0,6.0,1.0,4.0,2.0,3.0,1.0,
52,ACARAPE,CE,157,225,1529,3125.0,5996.0,107.0,338.0,64.0,11.0,1.0,,1.0,,1.0
30,ACARAÚ,CE,504,873,8686,8288.0,24551.0,198.0,2093.0,161.0,20.0,16.0,4.0,13.0,3.0,1.0
60,ACOPIARA,CE,463,743,8421,3950.0,23642.0,222.0,1792.0,122.0,8.0,12.0,3.0,8.0,5.0,2.0
101,AIUABA,CE,88,227,3079,824.0,7010.0,45.0,427.0,25.0,3.0,6.0,4.0,3.0,1.0,
24,ALCÂNTARAS,CE,91,171,2060,803.0,5755.0,33.0,738.0,17.0,2.0,1.0,1.0,2.0,,
53,ALTANEIRA,CE,43,103,1083,350.0,4283.0,24.0,318.0,7.0,3.0,5.0,,1.0,,
86,ALTO SANTO,CE,93,174,2789,1502.0,7772.0,31.0,388.0,17.0,5.0,1.0,,,,
89,AMONTADA,CE,315,510,6386,5010.0,19707.0,191.0,1231.0,93.0,18.0,16.0,5.0,4.0,1.0,2.0
18,ANTONINA DO NORTE,CE,53,123,2076,534.0,4157.0,24.0,312.0,16.0,3.0,1.0,1.0,5.0,,
50,APUIARÉS,CE,83,139,1773,1733.0,7592.0,84.0,555.0,22.0,8.0,3.0,1.0,,3.0,
66,AQUIRAZ,CE,721,1170,8631,15296.0,31902.0,761.0,2605.0,279.0,57.0,23.0,5.0,9.0,3.0,1.0
8,ARACATI,CE,753,914,8077,11451.0,30215.0,499.0,2586.0,183.0,44.0,25.0,5.0,10.0,6.0,3.0
67,ARACOIABA,CE,216,270,3467,4122.0,14809.0,199.0,820.0,89.0,12.0,3.0,2.0,1.0,2.0,
48,ARARENDÁ,CE,74,129,2258,1349.0,5441.0,54.0,295.0,32.0,3.0,4.0,,1.0,,
68,ARARIPE,CE,115,285,4975,866.0,11229.0,61.0,592.0,22.0,1.0,5.0,,1.0,1.0,
105,ARATUBA,CE,109,202,1876,1660.0,7041.0,70.0,542.0,37.0,6.0,3.0,,2.0,2.0,1.0
101,ARNEIROZ,CE,41,104,1672,797.0,4093.0,26.0,314.0,15.0,2.0,3.0,,2.0,2.0,
18,ASSARÉ,CE,159,294,5255,1527.0,11787.0,74.0,719.0,44.0,7.0,10.0,3.0,6.0,1.0,
69,AURORA,CE,191,395,4329,1920.0,12040.0,163.0,745.0,92.0,14.0,6.0,2.0,3.0,1.0,3.0
92,BAIXIO,CE,40,59,1218,479.0,3512.0,16.0,256.0,3.0,2.0,,,1.0,,
6,BANABUIÚ,CE,68,176,2348,1781.0,9706.0,49.0,520.0,29.0,2.0,5.0,,3.0,,
31,BARBALHA,CE,514,807,7897,7861.0,28304.0,349.0,1973.0,206.0,31.0,21.0,4.0,7.0,8.0,1.0
52,BARREIRA,CE,267,360,2341,4945.0,8771.0,203.0,582.0,108.0,19.0,7.0,,2.0,1.0,
92,BARRO,CE,112,273,3922,1242.0,10402.0,121.0,537.0,34.0,9.0,5.0,3.0,2.0,4.0,
108,BARROQUINHA,CE,111,233,2669,1652.0,8307.0,74.0,822.0,13.0,3.0,5.0,1.0,3.0,4.0,
5,BATURITÉ,CE,305,412,4254,4369.0,16053.0,165.0,952.0,74.0,23.0,7.0,3.0,3.0,2.0,1.0
84,BEBERIBE,CE,562,991,7968,8870.0,23925.0,398.0,2036.0,182.0,27.0,15.0,4.0,7.0,4.0,4.0
96,BELA CRUZ,CE,271,403,3830,3834.0,10385.0,70.0,1343.0,58.0,8.0,2.0,4.0,1.0,1.0,
63,BOA VIAGEM,CE,328,679,8038,3478.0,26608.0,154.0,1608.0,83.0,17.0,10.0,4.0,13.0,4.0,4.0
70,BREJO SANTO,CE,290,517,6131,4438.0,22469.0,124.0,1200.0,81.0,19.0,5.0,2.0,7.0,2.0,6.0
32,CAMOCIM,CE,502,829,9202,8532.0,24217.0,340.0,4053.0,121.0,31.0,6.0,5.0,8.0,7.0,5.0
38,CAMPOS SALES,CE,169,337,5804,1732.0,12689.0,60.0,591.0,38.0,9.0,5.0,3.0,4.0,1.0,2.0
33,CANINDÉ,CE,410,1024,10804,7942.0,34884.0,315.0,1969.0,171.0,21.0,19.0,9.0,11.0,3.0,5.0
105,CAPISTRANO,CE,137,225,2700,2088.0,9864.0,94.0,598.0,50.0,3.0,3.0,2.0,3.0,,
111,CARIDADE,CE,137,260,2608,2180.0,10777.0,99.0,521.0,53.0,5.0,4.0,2.0,2.0,,
71,CARIRIAÇU,CE,172,392,4608,2677.0,14877.0,222.0,933.0,98.0,9.0,10.0,2.0,4.0,4.0,
65,CARIRÉ,CE,201,295,2810,2393.0,8182.0,99.0,709.0,78.0,4.0,6.0,,1.0,1.0,
43,CARIÚS,CE,165,262,2580,1668.0,9694.0,91.0,406.0,37.0,6.0,6.0,,2.0,1.0,2.0
22,CARNAUBAL,CE,137,423,3140,2377.0,6933.0,161.0,598.0,69.0,2.0,7.0,1.0,2.0,,1.0
7,CASCAVEL,CE,850,1321,8741,12728.0,29681.0,702.0,2544.0,281.0,36.0,11.0,1.0,6.0,10.0,3.0
60,CATARINA,CE,46,142,2719,912.0,5308.0,71.0,267.0,12.0,4.0,1.0,2.0,,1.0,
54,CATUNDA,CE,45,92,1549,774.0,5611.0,54.0,375.0,16.0,,2.0,,1.0,4.0,
37,CAUCAIA,CE,1106,2181,13159,24217.0,43212.0,1147.0,4675.0,507.0,131.0,29.0,6.0,31.0,16.0,10.0
120,CAUCAIA,CE,685,1437,7568,12558.0,27564.0,680.0,2398.0,315.0,38.0,16.0,5.0,7.0,18.0,4.0
123,CAUCAIA,CE,1055,2078,11511,26434.0,43254.0,1203.0,5650.0,438.0,135.0,29.0,12.0,26.0,26.0,10.0
13,CEDRO,CE,172,387,3958,2202.0,12164.0,85.0,1042.0,79.0,12.0,11.0,3.0,3.0,3.0,1.0
108,CHAVAL,CE,99,174,2323,1147.0,6493.0,50.0,417.0,16.0,3.0,5.0,3.0,3.0,1.0,
49,CHOROZINHO,CE,295,350,2537,3079.0,9953.0,121.0,756.0,56.0,7.0,2.0,1.0,4.0,2.0,1.0
6,CHORÓ,CE,68,209,1968,1326.0,7288.0,71.0,287.0,54.0,2.0,7.0,,2.0,,
64,COREAÚ,CE,221,321,3790,2643.0,10985.0,110.0,1139.0,108.0,9.0,5.0,,6.0,1.0,1.0
20,CRATEÚS,CE,521,1274,10875,8408.0,33294.0,321.0,2421.0,143.0,41.0,16.0,9.0,10.0,13.0,1.0
27,CRATO,CE,665,1404,12580,10330.0,63197.0,639.0,3449.0,180.0,72.0,26.0,8.0,24.0,14.0,4.0
74,CROATÁ,CE,143,301,3337,1467.0,8365.0,103.0,711.0,35.0,14.0,4.0,1.0,,,5.0
30,CRUZ,CE,252,394,3956,4906.0,10695.0,145.0,947.0,80.0,15.0,3.0,,4.0,,1.0
55,DEPUTADO IRAPUAN PINHEIRO,CE,48,132,1471,552.0,4840.0,26.0,365.0,11.0,,4.0,,1.0,1.0,
10,ERERÉ,CE,39,79,1330,515.0,3494.0,35.0,184.0,12.0,,2.0,,,2.0,
88,EUSÉBIO,CE,576,779,7436,15728.0,21790.0,650.0,2523.0,252.0,65.0,19.0,7.0,12.0,15.0,3.0
62,FARIAS BRITO,CE,144,305,2345,1307.0,11245.0,103.0,598.0,28.0,9.0,4.0,2.0,2.0,,4.0
121,FORQUILHA,CE,255,410,2731,3653.0,9181.0,62.0,2186.0,66.0,7.0,5.0,2.0,5.0,2.0,
113,FORTALEZA,CE,943,1898,20254,30422.0,50995.0,1938.0,8651.0,352.0,245.0,60.0,13.0,38.0,53.0,10.0
85,FORTALEZA,CE,1096,2143,14878,28648.0,41811.0,1344.0,7313.0,540.0,146.0,37.0,14.0,23.0,31.0,13.0
1,FORTALEZA,CE,1271,2242,23914,38250.0,51572.0,2446.0,9255.0,487.0,448.0,53.0,17.0,42.0,34.0,6.0
118,FORTALEZA,CE,1188,2119,15247,29701.0,48104.0,1614.0,7751.0,443.0,212.0,44.0,21.0,38.0,35.0,11.0
82,FORTALEZA,CE,1182,2073,18194,27917.0,48363.0,1672.0,7199.0,484.0,192.0,58.0,20.0,38.0,39.0,11.0
115,FORTALEZA,CE,1143,2078,18398,32645.0,48376.0,1761.0,7846.0,463.0,245.0,55.0,15.0,33.0,41.0,10.0
2,FORTALEZA,CE,1241,2228,18415,31308.0,48545.0,1903.0,8188.0,488.0,219.0,40.0,21.0,40.0,25.0,6.0
116,FORTALEZA,CE,1524,2342,18535,32964.0,51688.0,1670.0,7108.0,642.0,158.0,44.0,15.0,38.0,27.0,4.0
93,FORTALEZA,CE,1080,1867,14531,25735.0,40628.0,1315.0,6231.0,413.0,150.0,36.0,13.0,24.0,35.0,7.0
112,FORTALEZA,CE,1171,1878,18933,37472.0,46321.0,2384.0,9009.0,467.0,398.0,47.0,15.0,25.0,51.0,9.0
3,FORTALEZA,CE,746,1182,23321,35093.0,37156.0,2498.0,7489.0,237.0,452.0,42.0,13.0,42.0,31.0,15.0
83,FORTALEZA,CE,1346,2186,17630,32005.0,50124.0,1665.0,7781.0,498.0,164.0,44.0,18.0,48.0,29.0,5.0
95,FORTALEZA,CE,1360,2421,18343,28622.0,47664.0,1501.0,6999.0,493.0,159.0,36.0,12.0,24.0,34.0,2.0
114,FORTALEZA,CE,1496,2689,17363,29390.0,49985.0,1683.0,6984.0,590.0,176.0,48.0,12.0,38.0,29.0,6.0
117,FORTALEZA,CE,1333,2231,16391,30048.0,49558.0,1438.0,7370.0,575.0,154.0,45.0,21.0,26.0,28.0,9.0
80,FORTALEZA,CE,888,1605,17813,29214.0,45569.0,2047.0,8028.0,303.0,265.0,30.0,21.0,51.0,37.0,11.0
94,FORTALEZA,CE,1200,2316,16695,30728.0,45550.0,1612.0,7382.0,515.0,197.0,59.0,23.0,52.0,40.0,7.0
8,FORTIM,CE,149,272,1898,3380.0,8141.0,145.0,580.0,40.0,5.0,4.0,,3.0,4.0,1.0
81,FRECHEIRINHA,CE,144,305,2074,2135.0,7098.0,41.0,766.0,39.0,4.0,4.0,,3.0,1.0,
50,GENERAL SAMPAIO,CE,60,74,1447,955.0,4645.0,55.0,253.0,13.0,2.0,4.0,2.0,,,
25,GRANJA,CE,455,1034,8145,3711.0,27017.0,235.0,1550.0,139.0,30.0,10.0,2.0,10.0,2.0,1.0
62,GRANJEIRO,CE,31,52,1350,454.0,3705.0,36.0,154.0,7.0,2.0,3.0,,1.0,,
79,GRAÇA,CE,96,293,3864,895.0,7693.0,41.0,479.0,24.0,4.0,2.0,,8.0,5.0,
65,GROAÍRAS,CE,199,208,1452,1793.0,4506.0,76.0,654.0,31.0,12.0,10.0,1.0,1.0,2.0,
57,GUAIÚBA,CE,175,327,2556,3408.0,11888.0,170.0,712.0,56.0,4.0,6.0,4.0,2.0,3.0,1.0
74,GUARACIABA DO NORTE,CE,363,639,7264,4918.0,17541.0,206.0,1667.0,97.0,22.0,5.0,4.0,5.0,3.0,3.0
5,GUARAMIRANGA,CE,48,98,959,875.0,3579.0,43.0,265.0,11.0,1.0,,1.0,1.0,,
54,HIDROLÂNDIA,CE,103,243,2672,2122.0,8753.0,58.0,936.0,41.0,1.0,1.0,,,,1.0
78,HORIZONTE,CE,943,1286,8681,14302.0,28683.0,561.0,2873.0,244.0,35.0,20.0,1.0,11.0,2.0,5.0
6,IBARETAMA,CE,94,179,1779,1615.0,7809.0,58.0,525.0,57.0,2.0,2.0,,1.0,1.0,1.0
73,IBIAPINA,CE,232,424,3713,2876.0,9813.0,141.0,1374.0,54.0,14.0,8.0,2.0,5.0,,3.0
47,IBICUITINGA,CE,138,187,1957,2050.0,7232.0,65.0,332.0,54.0,6.0,3.0,2.0,4.0,1.0,
8,ICAPUÍ,CE,228,213,2257,3605.0,9430.0,77.0,643.0,28.0,7.0,7.0,1.0,2.0,,
15,ICÓ,CE,412,755,10478,6339.0,28700.0,248.0,1839.0,225.0,25.0,7.0,1.0,11.0,8.0,3.0
13,IGUATU,CE,735,1145,10424,8808.0,44168.0,417.0,2315.0,112.0,46.0,11.0,10.0,12.0,10.0,4.0
39,INDEPENDÊNCIA,CE,147,333,5170,3433.0,11777.0,101.0,758.0,52.0,5.0,9.0,2.0,5.0,1.0,
20,IPAPORANGA,CE,64,167,2125,1214.0,5991.0,47.0,239.0,40.0,7.0,2.0,2.0,1.0,3.0,
92,IPAUMIRIM,CE,64,134,2103,957.0,5875.0,39.0,372.0,7.0,2.0,,,1.0,,2.0
21,IPU,CE,293,592,8807,4138.0,19207.0,135.0,1265.0,110.0,18.0,11.0,6.0,7.0,3.0,7.0
40,IPUEIRAS,CE,267,685,10373,3955.0,16852.0,198.0,1383.0,84.0,13.0,20.0,4.0,3.0,4.0,3.0
86,IRACEMA,CE,62,164,2734,1334.0,7258.0,45.0,335.0,10.0,4.0,2.0,2.0,2.0,2.0,1.0
41,IRAUÇUBA,CE,151,286,2711,2320.0,11897.0,73.0,860.0,45.0,2.0,6.0,,4.0,1.0,
78,ITAITINGA,CE,346,657,3962,7531.0,15703.0,345.0,1174.0,150.0,16.0,6.0,4.0,7.0,4.0,3.0
75,ITAIÇABA,CE,59,99,962,1377.0,3852.0,44.0,420.0,16.0,4.0,2.0,,2.0,1.0,1.0
41,ITAPAJÉ,CE,380,558,5548,9549.0,19627.0,248.0,1641.0,133.0,14.0,20.0,1.0,3.0,1.0,1.0
17,ITAPIPOCA,CE,711,1350,13472,14531.0,57530.0,475.0,4794.0,282.0,56.0,28.0,9.0,17.0,8.0,7.0
105,ITAPIÚNA,CE,142,252,2763,2487.0,9107.0,80.0,726.0,83.0,3.0,4.0,2.0,4.0,,3.0
98,ITAREMA,CE,320,586,6320,7345.0,15197.0,203.0,1460.0,174.0,12.0,9.0,,1.0,,2.0
33,ITATIRA,CE,116,411,4233,2019.0,11115.0,73.0,474.0,37.0,2.0,6.0,3.0,7.0,3.0,
72,JAGUARETAMA,CE,130,231,3364,1625.0,9622.0,97.0,567.0,43.0,2.0,1.0,2.0,,,1.0
72,JAGUARIBARA,CE,61,138,1615,1170.0,5341.0,28.0,242.0,23.0,3.0,6.0,1.0,3.0,,1.0
10,JAGUARIBE,CE,193,393,5844,3605.0,17139.0,155.0,1009.0,59.0,18.0,14.0,2.0,2.0,4.0,1.0
75,JAGUARUANA,CE,621,592,4498,5735.0,14582.0,168.0,1297.0,91.0,9.0,12.0,,4.0,3.0,1.0
119,JARDIM,CE,166,406,5415,1836.0,12943.0,163.0,797.0,86.0,10.0,6.0,1.0,3.0,3.0,1.0
70,JATI,CE,64,138,1416,651.0,4221.0,34.0,253.0,15.0,,2.0,,,,1.0
30,JIJOCA DE JERICOACOARA,CE,179,333,3320,4007.0,9297.0,127.0,870.0,46.0,10.0,5.0,1.0,3.0,4.0,
28,JUAZEIRO DO NORTE,CE,709,1211,11751,12166.0,47745.0,966.0,3621.0,167.0,92.0,30.0,11.0,19.0,12.0,4.0
119,JUAZEIRO DO NORTE,CE,1039,1811,17485,17771.0,61294.0,1192.0,4686.0,309.0,131.0,36.0,17.0,21.0,38.0,6.0
43,JUCÁS,CE,247,371,4454,2416.0,10979.0,114.0,937.0,54.0,11.0,10.0,2.0,9.0,1.0,
14,LAVRAS DA MANGABEIRA,CE,185,406,5039,2264.0,13969.0,124.0,1214.0,55.0,13.0,5.0,1.0,7.0,1.0,
29,LIMOEIRO DO NORTE,CE,522,875,6803,7555.0,27138.0,268.0,2228.0,101.0,45.0,15.0,7.0,8.0,5.0,2.0
63,MADALENA,CE,103,190,2383,1583.0,8908.0,76.0,497.0,40.0,6.0,3.0,1.0,1.0,,4.0
104,MARACANAÚ,CE,985,1932,10013,23774.0,40267.0,1006.0,4744.0,433.0,117.0,30.0,12.0,24.0,14.0,5.0
122,MARACANAÚ,CE,1088,1771,10266,24605.0,41950.0,1005.0,4387.0,429.0,106.0,29.0,14.0,12.0,12.0,6.0
4,MARANGUAPE,CE,845,1543,10958,19594.0,41819.0,751.0,3249.0,369.0,73.0,21.0,5.0,14.0,10.0,3.0
96,MARCO,CE,315,450,3775,7198.0,8924.0,101.0,1052.0,105.0,12.0,9.0,1.0,3.0,,
25,MARTINÓPOLE,CE,94,184,1443,1062.0,6698.0,44.0,415.0,20.0,4.0,,,2.0,3.0,
45,MASSAPÊ,CE,552,653,6335,5112.0,16849.0,193.0,2094.0,108.0,10.0,6.0,2.0,4.0,1.0,2.0
76,MAURITI,CE,311,605,6633,4792.0,20297.0,212.0,1333.0,83.0,13.0,13.0,3.0,5.0,5.0,
24,MERUOCA,CE,168,205,1731,1447.0,7237.0,83.0,1206.0,29.0,5.0,3.0,1.0,2.0,,1.0
26,MILAGRES,CE,193,415,4395,1622.0,14369.0,153.0,725.0,27.0,7.0,7.0,1.0,4.0,2.0,
55,MILHÃ,CE,51,143,2583,1102.0,7223.0,54.0,409.0,15.0,3.0,4.0,1.0,,,2.0
89,MIRAÍMA,CE,68,160,1988,1149.0,7647.0,37.0,478.0,26.0,5.0,2.0,,3.0,1.0,1.0
16,MISSÃO VELHA,CE,257,536,5217,3188.0,18688.0,186.0,965.0,37.0,10.0,10.0,3.0,3.0,2.0,1.0
46,MOMBAÇA,CE,290,656,7020,3770.0,18823.0,247.0,814.0,155.0,11.0,10.0,1.0,5.0,4.0,3.0
61,MONSENHOR TABOSA,CE,114,250,4355,1666.0,8699.0,42.0,522.0,39.0,3.0,3.0,3.0,4.0,3.0,1.0
47,MORADA NOVA,CE,610,1077,8905,9551.0,30684.0,439.0,2910.0,235.0,31.0,18.0,6.0,13.0,2.0,2.0
64,MORAÚJO,CE,85,143,1234,1075.0,4511.0,39.0,373.0,22.0,9.0,3.0,,2.0,,
44,MORRINHOS,CE,199,262,3150,5872.0,7110.0,80.0,603.0,112.0,13.0,8.0,,,2.0,
79,MUCAMBO,CE,158,258,4035,1476.0,6824.0,55.0,716.0,61.0,6.0,6.0,,3.0,1.0,
5,MULUNGU,CE,77,143,1465,1435.0,5192.0,54.0,278.0,20.0,3.0,1.0,1.0,1.0,1.0,
53,NOVA OLINDA,CE,113,188,2071,1428.0,7725.0,68.0,422.0,20.0,5.0,1.0,,,1.0,1.0
48,NOVA RUSSAS,CE,242,474,6431,4407.0,12565.0,149.0,966.0,95.0,15.0,10.0,5.0,10.0,2.0,
99,NOVO ORIENTE,CE,217,468,6274,2391.0,13621.0,90.0,762.0,49.0,6.0,10.0,5.0,8.0,1.0,
67,OCARA,CE,195,288,3166,4226.0,14025.0,201.0,943.0,91.0,9.0,7.0,3.0,5.0,1.0,1.0
15,ORÓS,CE,128,329,5067,2379.0,10357.0,78.0,542.0,35.0,5.0,4.0,2.0,4.0,2.0,3.0
49,PACAJUS,CE,750,1168,6924,13144.0,25491.0,603.0,2878.0,227.0,51.0,9.0,3.0,6.0,6.0,1.0
57,PACATUBA,CE,546,1107,6831,13697.0,26037.0,550.0,2542.0,219.0,34.0,13.0,5.0,16.0,4.0,2.0
5,PACOTI,CE,108,235,1842,1429.0,6134.0,76.0,492.0,29.0,2.0,1.0,,3.0,,1.0
79,PACUJÁ,CE,68,122,1480,441.0,3788.0,50.0,396.0,20.0,1.0,3.0,,2.0,,
9,PALHANO,CE,77,122,1332,1924.0,4704.0,41.0,669.0,31.0,1.0,,,3.0,,
4,PALMÁCIA,CE,81,183,1550,1508.0,5469.0,87.0,295.0,47.0,7.0,4.0,,1.0,,
109,PARACURU,CE,368,651,5072,6575.0,16787.0,288.0,1219.0,174.0,18.0,8.0,3.0,5.0,2.0,2.0
109,PARAIPABA,CE,277,423,3627,6860.0,12787.0,254.0,1081.0,108.0,12.0,9.0,5.0,3.0,,5.0
19,PARAMBU,CE,271,597,8142,4622.0,13672.0,111.0,1066.0,58.0,12.0,7.0,2.0,5.0,3.0,1.0
111,PARAMOTI,CE,60,155,1537,1404.0,6159.0,96.0,334.0,29.0,3.0,3.0,,1.0,,
59,PEDRA BRANCA,CE,235,619,7618,2586.0,21436.0,116.0,941.0,53.0,13.0,4.0,1.0,4.0,2.0,3.0
70,PENAFORTE,CE,102,152,1275,891.0,5128.0,62.0,342.0,13.0,5.0,3.0,1.0,2.0,,
50,PENTECOSTE,CE,237,458,4858,5392.0,19117.0,188.0,969.0,124.0,15.0,5.0,4.0,6.0,5.0,
10,PEREIRO,CE,108,249,4080,1388.0,8851.0,61.0,544.0,29.0,4.0,4.0,1.0,3.0,1.0,
7,PINDORETAMA,CE,170,377,2790,3693.0,10761.0,164.0,581.0,67.0,11.0,4.0,1.0,4.0,4.0,
12,PIQUET CARNEIRO,CE,93,192,2199,1251.0,7778.0,46.0,312.0,15.0,3.0,4.0,1.0,1.0,1.0,
21,PIRES FERREIRA,CE,46,95,1622,1026.0,4928.0,40.0,575.0,27.0,2.0,1.0,1.0,1.0,,
40,PORANGA,CE,51,217,2945,853.0,6094.0,52.0,262.0,16.0,3.0,6.0,1.0,3.0,1.0,1.0
70,PORTEIRAS,CE,84,230,2926,1149.0,8897.0,61.0,472.0,19.0,6.0,7.0,2.0,2.0,,
68,POTENGI,CE,57,127,1711,443.0,5108.0,29.0,254.0,15.0,3.0,1.0,1.0,3.0,2.0,
86,POTIRETAMA,CE,27,72,866,619.0,4029.0,18.0,114.0,4.0,1.0,,,,,
99,QUITERIANÓPOLIS,CE,150,338,4167,1740.0,10199.0,61.0,660.0,46.0,2.0,2.0,3.0,5.0,1.0,
6,QUIXADÁ,CE,734,961,9602,14601.0,29780.0,349.0,2221.0,264.0,26.0,24.0,2.0,9.0,1.0,2.0
13,QUIXELÔ,CE,168,204,1884,1463.0,9805.0,74.0,526.0,29.0,4.0,6.0,3.0,3.0,,
11,QUIXERAMOBIM,CE,398,799,12459,7634.0,35247.0,218.0,3117.0,82.0,22.0,11.0,4.0,5.0,4.0,4.0
29,QUIXERÉ,CE,169,411,2777,2874.0,10463.0,101.0,760.0,55.0,7.0,4.0,2.0,3.0,1.0,1.0
52,REDENÇÃO,CE,343,532,3811,4299.0,12827.0,249.0,937.0,79.0,19.0,9.0,1.0,6.0,4.0,
79,RERIUTABA,CE,129,278,4216,1697.0,9278.0,85.0,1023.0,39.0,6.0,8.0,,3.0,,
9,RUSSAS,CE,546,1053,8578,11174.0,31463.0,399.0,2889.0,146.0,64.0,16.0,4.0,7.0,3.0,3.0
43,SABOEIRO,CE,107,274,3554,1329.0,7398.0,55.0,298.0,36.0,4.0,2.0,,2.0,,2.0
38,SALITRE,CE,93,207,3169,1388.0,8462.0,40.0,802.0,15.0,5.0,3.0,1.0,2.0,1.0,
54,SANTA QUITÉRIA,CE,316,436,5873,3634.0,20291.0,260.0,2172.0,57.0,9.0,9.0,1.0,9.0,2.0,4.0
44,SANTANA DO ACARAÚ,CE,300,400,4830,3410.0,15479.0,158.0,1182.0,63.0,6.0,3.0,2.0,4.0,1.0,1.0
53,SANTANA DO CARIRI,CE,79,197,2288,893.0,9209.0,67.0,382.0,20.0,,5.0,,,,2.0
12,SENADOR POMPEU,CE,173,407,4590,3533.0,11280.0,121.0,1193.0,50.0,4.0,6.0,1.0,4.0,2.0,
45,SENADOR SÁ,CE,42,133,1183,1036.0,3852.0,35.0,386.0,16.0,3.0,2.0,1.0,1.0,,2.0
121,SOBRAL,CE,1027,1083,9901,12812.0,28928.0,358.0,9631.0,232.0,78.0,34.0,7.0,23.0,5.0,2.0
24,SOBRAL,CE,1726,1791,12905,16853.0,37769.0,471.0,12570.0,372.0,56.0,22.0,7.0,23.0,13.0,2.0
55,SOLONÓPOLE,CE,84,187,3267,1484.0,9230.0,87.0,461.0,29.0,6.0,3.0,,2.0,2.0,
22,SÃO BENEDITO,CE,554,923,7548,5618.0,19345.0,303.0,1782.0,120.0,15.0,14.0,3.0,8.0,2.0,
36,SÃO GONÇALO DO AMARANTE,CE,509,897,6920,11387.0,23181.0,426.0,2052.0,319.0,38.0,12.0,1.0,5.0,4.0,3.0
91,SÃO JOÃO DO JAGUARIBE,CE,62,78,1702,637.0,3730.0,31.0,339.0,4.0,3.0,5.0,,3.0,,3.0
23,SÃO LUÍS DO CURU,CE,132,221,1963,2006.0,6449.0,89.0,385.0,35.0,6.0,3.0,,2.0,1.0,1.0
91,TABULEIRO DO NORTE,CE,283,449,5727,3278.0,15075.0,66.0,1009.0,36.0,9.0,4.0,4.0,3.0,1.0,
61,TAMBORIL,CE,175,393,5390,2558.0,12596.0,86.0,1080.0,95.0,7.0,7.0,2.0,5.0,1.0,3.0
18,TARRAFAS,CE,64,143,2053,527.0,4652.0,32.0,236.0,23.0,2.0,2.0,1.0,2.0,,
19,TAUÁ,CE,442,1047,11197,8776.0,22509.0,288.0,3053.0,147.0,14.0,15.0,1.0,19.0,3.0,5.0
