zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0060,60,MA,SÃO DOMINGOS DO MARANHÃO,09113
0098,98,MA,SÃO FRANCISCO DO BREJÃO,08281
0021,21,MA,SÃO FRANCISCO DO MARANHÃO,09156
0062,62,MA,SÃO FÉLIX DE BALSAS,09130
0047,47,MA,SÃO JOSÉ DE RIBAMAR,08893
0054,54,MA,SÃO JOSÉ DOS BASÍLIOS,08362
0063,63,MA,SÃO JOÃO BATISTA,09172
0078,78,MA,SÃO JOÃO DO CARÚ,08303
0046,46,MA,SÃO JOÃO DO PARAÍSO,08320
0006,6,MA,SÃO JOÃO DO SOTER,08346
0053,53,MA,SÃO JOÃO DOS PATOS,09199
0076,76,MA,SÃO LUÍS,09210
0002,2,MA,SÃO LUÍS,09210
0010,10,MA,SÃO LUÍS,09210
0003,3,MA,SÃO LUÍS,09210
0089,89,MA,SÃO LUÍS,09210
0001,1,MA,SÃO LUÍS,09210
0035,35,MA,SÃO LUÍS GONZAGA DO MARANHÃO,08052
0084,84,MA,SÃO MATEUS DO MARANHÃO,09237
0092,92,MA,SÃO PEDRO DA ÁGUA BRANCA,08389
0082,82,MA,SÃO PEDRO DOS CRENTES,08400
0034,34,MA,SÃO RAIMUNDO DAS MANGABEIRAS,09253
0061,61,MA,SÃO RAIMUNDO DO DOCA BEZERRA,08427
0061,61,MA,SÃO ROBERTO,08443
0063,63,MA,SÃO VICENTE FERRER,09270
0099,99,MA,SÍTIO NOVO,09296
0011,11,MA,TASSO FRAGOSO,09334
0007,7,MA,TIMBIRAS,09350
0019,19,MA,TIMON,09377
0009,9,MA,TRIZIDELA DO VALE,08567
0077,77,MA,TUFILÂNDIA,08583
0079,79,MA,TUNTUM,09393
0039,39,MA,TURIAÇU,09415
0083,83,MA,TURILÂNDIA,08605
0040,40,MA,TUTÓIA,09431
0073,73,MA,URBANO SANTOS,09458
0050,50,MA,VARGEM GRANDE,09474
0020,20,MA,VIANA,09490
0092,92,MA,VILA NOVA DOS MARTÍRIOS,08621
0049,49,MA,VITORINO FREIRE,09539
0041,41,MA,VITÓRIA DO MEARIM,09512
0096,96,MA,ZÉ DOCA,09717
0012,12,MA,ÁGUA DOCE DO MARANHÃO,07005
0001,1,MT,ACORIZAL,90018
0024,24,MT,ALTA FLORESTA,89877
0008,8,MT,ALTO ARAGUAIA,90050
0015,15,MT,ALTO BOA VISTA,90042
0045,45,MT,ALTO GARÇAS,90077
0007,7,MT,ALTO PARAGUAI,90093
0008,8,MT,ALTO TAQUARI,98612
0050,50,MT,APIACÁS,90263
0009,9,MT,ARAGUAIANA,98639
0008,8,MT,ARAGUAINHA,90239
0041,41,MT,ARAPUTANGA,89893
0017,17,MT,ARENÁPOLIS,90255
0011,11,MT,ARIPUANÃ,90271
0013,13,MT,BARRA DO BUGRES,90336
0009,9,MT,BARRA DO GARÇAS,90352
0038,38,MT,BARÃO DE MELGAÇO,90310
0053,53,MT,BOM JESUS DO ARAGUAIA,90905
0056,56,MT,BRASNORTE,90468
0026,26,MT,CAMPINÁPOLIS,98655
0060,60,MT,CAMPO NOVO DO PARECIS,90484
0012,12,MT,CAMPO VERDE,90506
0042,42,MT,CAMPOS DE JÚLIO,90743
0028,28,MT,CANABRAVA DO NORTE,90085
0031,31,MT,CANARANA,91936
0024,24,MT,CARLINDA,90760
0035,35,MT,CASTANHEIRA,90549
0034,34,MT,CHAPADA DOS GUIMARÃES,90590
0032,32,MT,CLÁUDIA,90522
0030,30,MT,COCALINHO,98671
0011,11,MT,COLNIZA,89788
0023,23,MT,COLÍDER,89796
0061,61,MT,COMODORO,99015
0028,28,MT,CONFRESA,90280
0061,61,MT,CONQUISTA D&apos;OESTE,91006
0048,48,MT,COTRIGUAÇU,90425
0001,1,MT,CUIABÁ,90670
0039,39,MT,CUIABÁ,90670
0051,51,MT,CUIABÁ,90670
0055,55,MT,CUIABÁ,90670
0018,18,MT,CURVELÂNDIA,89800
0006,6,MT,CÁCERES,90476
0013,13,MT,DENISE,98337
0007,7,MT,DIAMANTINO,90697
0012,12,MT,DOM AQUINO,90719
0036,36,MT,FELIZ NATAL,90786
0041,41,MT,FIGUEIRÓPOLIS D&apos;OESTE,99031
0057,57,MT,GAÚCHA DO NORTE,90824
0009,9,MT,GENERAL CARNEIRO,90778
0018,18,MT,GLÓRIA D&apos;OESTE,90204
0044,44,MT,GUARANTÃ DO NORTE,99058
0002,2,MT,GUIRATINGA,90832
0041,41,MT,INDIAVAÍ,99074
0043,43,MT,IPIRANGA DO NORTE,91081
0021,21,MT,ITANHANGÁ,91103
0023,23,MT,ITAÚBA,98698
0010,10,MT,ITIQUIRA,90913
0014,14,MT,JACIARA,90956
0003,3,MT,JANGADA,90565
0041,41,MT,JAURU,89915
0027,27,MT,JUARA,98191
0048,48,MT,JURUENA,90581
0014,14,MT,JUSCIMEIRA,91898
0035,35,MT,JUÍNA,98310
0052,52,MT,LAMBARI D&apos;OESTE,90301
0021,21,MT,LUCAS DO RIO VERDE,90603
0015,15,MT,LUCIARA,91057
0032,32,MT,MARCELÂNDIA,98710
0033,33,MT,MATUPÁ,90620
0018,18,MT,MIRASSOL D&apos;OESTE,91774
0003,3,MT,NOBRES,91170
0017,17,MT,NORTELÂNDIA,91197
0020,20,MT,NOSSA SENHORA DO LIVRAMENTO,91219
0050,50,MT,NOVA BANDEIRANTES,90387
0034,34,MT,NOVA BRASILÂNDIA,89818
0023,23,MT,NOVA CANAÃ DO NORTE,98752
0033,33,MT,NOVA GUARITA,90140
0061,61,MT,NOVA LACERDA,90867
0017,17,MT,NOVA MARILÂNDIA,90166
0029,29,MT,NOVA MARINGÁ,90123
0050,50,MT,NOVA MONTE VERDE,90360
0005,5,MT,NOVA MUTUM,90646
0030,30,MT,NOVA NAZARÉ,90964
0019,19,MT,NOVA OLÍMPIA,98736
0023,23,MT,NOVA SANTA HELENA,89826
0043,43,MT,NOVA UBIRATÃ,90883
0026,26,MT,NOVA XAVANTINA,91952
0027,27,MT,NOVO HORIZONTE DO NORTE,98795
0044,44,MT,NOVO MUNDO,90808
0015,15,MT,NOVO SANTO ANTÔNIO,90948
0026,26,MT,NOVO SÃO JOAQUIM,98779
0057,57,MT,PARANATINGA,89834
0024,24,MT,PARANAÍTA,98833
0045,45,MT,PEDRA PRETA,91812
0033,33,MT,PEIXOTO DE AZEVEDO,98817
0034,34,MT,PLANALTO DA SERRA,90344
0004,4,MT,POCONÉ,91294
0009,9,MT,PONTAL DO ARAGUAIA,90700
0008,8,MT,PONTE BRANCA,91332
0025,25,MT,PONTES E LACERDA,89990
0028,28,MT,PORTO ALEGRE DO NORTE,98850
0027,27,MT,PORTO DOS GAÚCHOS,91359
0018,18,MT,PORTO ESPERIDIÃO,98876
0013,13,MT,PORTO ESTRELA,90182
0047,47,MT,POXORÉU,91391
0040,40,MT,PRIMAVERA DO LESTE,98892
0053,53,MT,QUERÊNCIA,90069
0041,41,MT,RESERVA DO CABAÇAL,98914
0031,31,MT,RIBEIRÃO CASCALHEIRA,90662
0009,9,MT,RIBEIRÃOZINHO,90441
0052,52,MT,RIO BRANCO,89958
0061,61,MT,RONDOLÂNDIA,89960
0046,46,MT,RONDONÓPOLIS,91510
0010,10,MT,RONDONÓPOLIS,91510
0003,3,MT,ROSÁRIO OESTE,91537
0052,52,MT,SALTO DO CÉU,89974
0036,36,MT,SANTA CARMEM,90107
0016,16,MT,SANTA CRUZ DO XINGU,90980
0005,5,MT,SANTA RITA DO TRIVELATO,91049
0016,16,MT,SANTA TEREZINHA,91979
0017,17,MT,SANTO AFONSO,90328
0040,40,MT,SANTO ANTÔNIO DO LESTE,89843
0038,38,MT,SANTO ANTÔNIO DO LEVERGER,91553
0042,42,MT,SAPEZAL,90727
0053,53,MT,SERRA NOVA DOURADA,90921
0022,22,MT,SINOP,89850
0043,43,MT,SORRISO,98930
0015,15,MT,SÃO FÉLIX DO ARAGUAIA,91839
0002,2,MT,SÃO JOSÉ DO POVO,90026
0029,29,MT,SÃO JOSÉ DO RIO CLARO,91995
0028,28,MT,SÃO JOSÉ DO XINGU,90247
0052,52,MT,SÃO JOSÉ DOS QUATRO MARCOS,89931
0014,14,MT,SÃO PEDRO DA CIPA,90409
0027,27,MT,TABAPORÃ,90220
0019,19,MT,TANGARÁ DA SERRA,91855
0021,21,MT,TAPURAH,90689
0033,33,MT,TERRA NOVA DO NORTE,98957
0002,2,MT,TESOURO,91618
0009,9,MT,TORIXORÉU,91634
0032,32,MT,UNIÃO DO SUL,90840
0025,25,MT,VALE DE SÃO DOMINGOS,91022
0036,36,MT,VERA,98973
0025,25,MT,VILA BELA DA SANTÍSSIMA TRINDADE,91090
0016,16,MT,VILA RICA,98990
0020,20,MT,VÁRZEA GRANDE,91677
0049,49,MT,VÁRZEA GRANDE,91677
0030,30,MT,ÁGUA BOA,91910
0038,38,MS,ALCINÓPOLIS,55018
0001,1,MS,AMAMBAI,90115
0049,49,MS,ANASTÁCIO,90131
0006,6,MS,ANAURILÂNDIA,90158
0027,27,MS,ANGÉLICA,91693
0052,52,MS,ANTÔNIO JOÃO,90174
0024,24,MS,APARECIDA DO TABOADO,90190
0010,10,MS,AQUIDAUANA,90212
0019,19,MS,ARAL MOREIRA,91715
0034,34,MS,BANDEIRANTES,90298
0006,6,MS,BATAGUASSU,90379
0005,5,MS,BATAYPORÃ,90395
0017,17,MS,BELA VISTA,90417
0015,15,MS,BODOQUENA,98019
0030,30,MS,BONITO,90433
0041,41,MS,BRASILÂNDIA,90450
0028,28,MS,CAARAPÓ,90557
0014,14,MS,CAMAPUÃ,90492
0035,35,MS,CAMPO GRANDE,90514
0036,36,MS,CAMPO GRANDE,90514
0053,53,MS,CAMPO GRANDE,90514
0044,44,MS,CAMPO GRANDE,90514
0054,54,MS,CAMPO GRANDE,90514
0008,8,MS,CAMPO GRANDE,90514
0017,17,MS,CARACOL,90530
0003,3,MS,CASSILÂNDIA,90573
0048,48,MS,CHAPADÃO DO SUL,91782
0040,40,MS,CORGUINHO,90611
0019,19,MS,CORONEL SAPUCAIA,98590
0007,7,MS,CORUMBÁ,90638
0050,50,MS,CORUMBÁ,90638
0038,38,MS,COSTA RICA,98035
0012,12,MS,COXIM,90654
0039,39,MS,DEODÁPOLIS,91758
0049,49,MS,DOIS IRMÃOS DO BURITI,91804
0018,18,MS,DOURADINA,98051
0018,18,MS,DOURADOS,90735
0043,43,MS,DOURADOS,90735
0025,25,MS,ELDORADO,91731
0014,14,MS,FIGUEIRÃO,55069
0004,4,MS,FÁTIMA DO SUL,90751
0039,39,MS,GLÓRIA DE DOURADOS,90794
0022,22,MS,GUIA LOPES DA LAGUNA,90816
0025,25,MS,IGUATEMI,90859
0023,23,MS,INOCÊNCIA,90875
0043,43,MS,ITAPORÃ,90891
0025,25,MS,ITAQUIRAÍ,98078
0027,27,MS,IVINHEMA,90930
0033,33,MS,JAPORÃ,55034
0034,34,MS,JARAGUARI,90972
0022,22,MS,JARDIM,90999
0004,4,MS,JATEÍ,91014
0028,28,MS,JUTI,91820
0050,50,MS,LADÁRIO,91030
0043,43,MS,LAGUNA CARAPÃ,55026
0016,16,MS,MARACAJU,91073
0015,15,MS,MIRANDA,91111
0033,33,MS,MUNDO NOVO,91790
0002,2,MS,NAVIRAÍ,91138
0045,45,MS,NIOAQUE,91154
0011,11,MS,NOVA ALVORADA DO SUL,55000
0005,5,MS,NOVA ANDRADINA,91235
0027,27,MS,NOVO HORIZONTE DO SUL,55042
0013,13,MS,PARANAÍBA,91251
0001,1,MS,PARANHOS,91847
0048,48,MS,PARAÍSO DAS ÁGUAS,55050
0026,26,MS,PEDRO GOMES,91278
0019,19,MS,PONTA PORÃ,91316
0052,52,MS,PONTA PORÃ,91316
0020,20,MS,PORTO MURTINHO,91375
0032,32,MS,RIBAS DO RIO PARDO,91413
0011,11,MS,RIO BRILHANTE,91430
0040,40,MS,RIO NEGRO,91456
0021,21,MS,RIO VERDE DE MATO GROSSO,91472
0034,34,MS,ROCHEDO,91499
0041,41,MS,SANTA RITA DO PARDO,91863
0009,9,MS,SELVÍRIA,98116
0033,33,MS,SETE QUEDAS,98132
0031,31,MS,SIDROLÂNDIA,91570
0026,26,MS,SONORA,91880
0040,40,MS,SÃO GABRIEL DO OESTE,98094
0033,33,MS,TACURU,98159
0005,5,MS,TAQUARUSSU,98175
0054,54,MS,TERENOS,91596
0009,9,MS,TRÊS LAGOAS,91650
0051,51,MS,TRÊS LAGOAS,91650
0004,4,MS,VICENTINA,91901
0023,23,MS,ÁGUA CLARA,90034
0096,96,MG,ABADIA DOS DOURADOS,40010
0001,1,MG,ABAETÉ,40037
0002,2,MG,ABRE CAMPO,40053
0225,225,MG,ACAIACA,40070
0064,64,MG,AGUANIL,40150
0005,5,MG,AIMORÉS,40215
0006,6,MG,AIURUOCA,40231
0306,306,MG,ALAGOA,40258
0013,13,MG,ALBERTINA,40274
0008,8,MG,ALFENAS,40312
0025,25,MG,ALFREDO VASCONCELOS,40002
0009,9,MG,ALMENARA,40339
0119,119,MG,ALPERCATA,40355
0010,10,MG,ALPINÓPOLIS,40371
0019,19,MG,ALTEROSA,40398
0168,168,MG,ALTO CAPARAÓ,41661
0168,168,MG,ALTO JEQUITIBÁ,50695
0011,11,MG,ALTO RIO DOCE,40410
0089,89,MG,ALVARENGA,40436
0012,12,MG,ALVINÓPOLIS,40452
0262,262,MG,ALVORADA DE MINAS,40479
0007,7,MG,ALÉM PARAÍBA,40290
0268,268,MG,AMPARO DO SERRA,40495
0013,13,MG,ANDRADAS,40517
0014,14,MG,ANDRELÂNDIA,40550
0067,67,MG,ANGELÂNDIA,41688
0024,24,MG,ANTÔNIO CARLOS,40576
0097,97,MG,ANTÔNIO DIAS,40592
0111,111,MG,ANTÔNIO PRADO DE MINAS,40614
0250,250,MG,ARACITABA,40657
0016,16,MG,ARAGUARI,40690
0014,14,MG,ARANTINA,40711
0107,107,MG,ARAPONGA,40738
0179,179,MG,ARAPORÃ,40029
0076,76,MG,ARAPUÁ,40754
0017,17,MG,ARAXÁ,40797
0206,206,MG,ARAÇAÍ,40630
0015,15,MG,ARAÇUAÍ,40673
0298,298,MG,ARAÚJOS,40770
0182,182,MG,ARCEBURGO,40819
0018,18,MG,ARCOS,40835
0019,19,MG,AREADO,40851
0161,161,MG,ARGIRITA,40878
0135,135,MG,ARICANDUVA,41700
0320,320,MG,ARINOS,40894
0079,79,MG,ASTOLFO DUTRA,40916
0270,270,MG,ATALÉIA,40932
0054,54,MG,AUGUSTO DE LIMA,40959
0003,3,MG,AÇUCENA,40096
0080,80,MG,BAEPENDI,40975
0264,264,MG,BALDIM,40991
0021,21,MG,BAMBUÍ,41017
0009,9,MG,BANDEIRA,41033
0222,222,MG,BANDEIRA DO SUL,41050
0023,23,MG,BARBACENA,41114
0225,225,MG,BARRA LONGA,41130
0228,228,MG,BARROSO,41173
0022,22,MG,BARÃO DE COCAIS,41076
0201,201,MG,BARÃO DE MONTE ALTO,41092
0193,193,MG,BELA VISTA DE MINAS,41190
0173,173,MG,BELMIRO BRAGA,41211
0028,28,MG,BELO HORIZONTE,41238
0038,38,MG,BELO HORIZONTE,41238
0334,334,MG,BELO HORIZONTE,41238
0037,37,MG,BELO HORIZONTE,41238
0030,30,MG,BELO HORIZONTE,41238
0034,34,MG,BELO HORIZONTE,41238
0035,35,MG,BELO HORIZONTE,41238
0036,36,MG,BELO HORIZONTE,41238
0331,331,MG,BELO HORIZONTE,41238
0333,333,MG,BELO HORIZONTE,41238
0032,32,MG,BELO HORIZONTE,41238
0033,33,MG,BELO HORIZONTE,41238
0026,26,MG,BELO HORIZONTE,41238
0027,27,MG,BELO HORIZONTE,41238
0332,332,MG,BELO HORIZONTE,41238
0029,29,MG,BELO HORIZONTE,41238
0031,31,MG,BELO HORIZONTE,41238
0039,39,MG,BELO HORIZONTE,41238
0176,176,MG,BELO ORIENTE,41254
0338,338,MG,BELO VALE,41270
0177,177,MG,BERILO,41297
0266,266,MG,BERIZAL,41726
0004,4,MG,BERTÓPOLIS,41319
0316,316,MG,BETIM,41335
0319,319,MG,BETIM,41335
0024,24,MG,BIAS FORTES,41351
0042,42,MG,BICAS,41378
0001,1,MG,BIQUINHAS,41394
0043,43,MG,BOA ESPERANÇA,41416
0306,306,MG,BOCAINA DE MINAS,41432
0044,44,MG,BOCAIÚVA,41459
0045,45,MG,BOM DESPACHO,41475
0240,240,MG,BOM JARDIM DE MINAS,41491
0195,195,MG,BOM JESUS DA PENHA,41513
0022,22,MG,BOM JESUS DO AMPARO,41530
0072,72,MG,BOM JESUS DO GALHO,41556
0059,59,MG,BOM REPOUSO,41572
0046,46,MG,BOM SUCESSO,41599
0047,47,MG,BONFIM,41610
0329,329,MG,BONFINÓPOLIS DE MINAS,41637
0148,148,MG,BONITO DE MINAS,41742
0227,227,MG,BORDA DA MATA,41653
0055,55,MG,BOTELHOS,41670
0120,120,MG,BOTUMIRIM,41696
0151,151,MG,BRASILÂNDIA DE MINAS,40045
0050,50,MG,BRASÍLIA DE MINAS,41718
0051,51,MG,BRAZÓPOLIS,41777
0176,176,MG,BRAÚNAS,41750
0052,52,MG,BRUMADINHO,41793
0261,261,MG,BRÁS PIRES,41734
0183,183,MG,BUENO BRANDÃO,41815
0054,54,MG,BUENÓPOLIS,41831
0131,131,MG,BUGRE,41769
0324,324,MG,BURITIS,41858
0218,218,MG,BURITIZEIRO,41874
0280,280,MG,CABECEIRA GRANDE,41785
0055,55,MG,CABO VERDE,41890
0322,322,MG,CACHOEIRA DA PRATA,41912
0300,300,MG,CACHOEIRA DE MINAS,41939
0213,213,MG,CACHOEIRA DE PAJEÚ,40533
0302,302,MG,CACHOEIRA DOURADA,41955
0206,206,MG,CAETANÓPOLIS,41971
0056,56,MG,CAETÉ,41998
0303,303,MG,CAIANA,42013
0282,282,MG,CAJURI,42030
0345,345,MG,CALDAS,42056
0296,296,MG,CAMACHO,42072
0058,58,MG,CAMANDUCAIA,42099
0061,61,MG,CAMBUQUIRA,42137
0059,59,MG,CAMBUÍ,42110
0061,61,MG,CAMPANHA,42170
0136,136,MG,CAMPANÁRIO,42153
0222,222,MG,CAMPESTRE,42196
0229,229,MG,CAMPINA VERDE,42218
0050,50,MG,CAMPO AZUL,41807
0064,64,MG,CAMPO BELO,42234
0065,65,MG,CAMPO DO MEIO,42250
0326,326,MG,CAMPO FLORIDO,42277
0327,327,MG,CAMPOS ALTOS,42293
0065,65,MG,CAMPOS GERAIS,42315
0216,216,MG,CANA VERDE,42374
0107,107,MG,CANAÃ,42331
0296,296,MG,CANDEIAS,42390
0257,257,MG,CANTAGALO,41823
0302,302,MG,CANÁPOLIS,42358
0303,303,MG,CAPARAÓ,42412
0068,68,MG,CAPELA NOVA,42439
0067,67,MG,CAPELINHA,42455
0127,127,MG,CAPETINGA,42471
0174,174,MG,CAPIM BRANCO,42498
0302,302,MG,CAPINÓPOLIS,42510
0138,138,MG,CAPITÃO ANDRADE,40061
0115,115,MG,CAPITÃO ENÉAS,42536
0220,220,MG,CAPITÓLIO,42552
0002,2,MG,CAPUTIRA,42579
0068,68,MG,CARANAÍBA,42617
0068,68,MG,CARANDAÍ,42633
0069,69,MG,CARANGOLA,42650
0072,72,MG,CARATINGA,42676
0071,71,MG,CARATINGA,42676
0196,196,MG,CARAÍ,42595
0135,135,MG,CARBONITA,42692
0253,253,MG,CAREAÇU,42714
0073,73,MG,CARLOS CHAGAS,42730
0281,281,MG,CARMO DA CACHOEIRA,42773
0197,197,MG,CARMO DA MATA,42790
0259,259,MG,CARMO DE MINAS,42811
0287,287,MG,CARMO DO CAJURU,42838
0076,76,MG,CARMO DO PARANAÍBA,42854
0077,77,MG,CARMO DO RIO CLARO,42870
0113,113,MG,CARMÉSIA,42757
0208,208,MG,CARMÓPOLIS DE MINAS,42897
0142,142,MG,CARNEIRINHO,40088
0343,343,MG,CARRANCAS,42919
0006,6,MG,CARVALHOS,42951
0164,164,MG,CARVALHÓPOLIS,42935
0088,88,MG,CASA GRANDE,42978
0110,110,MG,CASCALHO RICO,42994
0079,79,MG,CATAGUASES,43052
0245,245,MG,CATAS ALTAS,41840
0087,87,MG,CATAS ALTAS DA NORUEGA,43079
0196,196,MG,CATUJI,40100
0226,226,MG,CATUTI,41866
0080,80,MG,CAXAMBU,43095
0001,1,MG,CEDRO DO ABAETÉ,43117
0169,169,MG,CENTRAL DE MINAS,43133
0302,302,MG,CENTRALINA,43150
0158,158,MG,CHALÉ,43192
0177,177,MG,CHAPADA DO NORTE,43214
0320,320,MG,CHAPADA GAÚCHA,41882
0170,170,MG,CHIADOR,43230
0042,42,MG,CHÁCARA,43176
0011,11,MG,CIPOTÂNEA,43257
0127,127,MG,CLARAVAL,43273
0184,184,MG,CLARO DOS POÇÕES,43290
0081,81,MG,CLÁUDIO,43311
0282,282,MG,COIMBRA,43338
0257,257,MG,COLUNA,43354
0297,297,MG,COMENDADOR GOMES,43370
0175,175,MG,COMERCINHO,43397
0077,77,MG,CONCEIÇÃO DA APARECIDA,43419
0328,328,MG,CONCEIÇÃO DA BARRA DE MINAS,43036
0082,82,MG,CONCEIÇÃO DAS ALAGOAS,43451
0099,99,MG,CONCEIÇÃO DAS PEDRAS,43435
0129,129,MG,CONCEIÇÃO DE IPANEMA,43478
0083,83,MG,CONCEIÇÃO DO MATO DENTRO,43494
0219,219,MG,CONCEIÇÃO DO PARÁ,43516
0080,80,MG,CONCEIÇÃO DO RIO VERDE,43532
0300,300,MG,CONCEIÇÃO DOS OUROS,43559
0215,215,MG,CONFINS,41920
0227,227,MG,CONGONHAL,43575
0085,85,MG,CONGONHAS,43591
0083,83,MG,CONGONHAS DO NORTE,43613
0326,326,MG,CONQUISTA,43630
0087,87,MG,CONSELHEIRO LAFAIETE,43656
0089,89,MG,CONSELHEIRO PENA,43672
0205,205,MG,CONSOLAÇÃO,43699
0091,91,MG,CONTAGEM,43710
0093,93,MG,CONTAGEM,43710
0313,313,MG,CONTAGEM,43710
0090,90,MG,CONTAGEM,43710
0192,192,MG,COQUEIRAL,43737
0094,94,MG,CORAÇÃO DE JESUS,43753
0206,206,MG,CORDISBURGO,43770
0253,253,MG,CORDISLÂNDIA,43796
0095,95,MG,CORINTO,43818
0212,212,MG,COROACI,43834
0096,96,MG,COROMANDEL,43850
0097,97,MG,CORONEL FABRICIANO,43877
0015,15,MG,CORONEL MURTA,43893
0235,235,MG,CORONEL PACHECO,43915
0232,232,MG,CORONEL XAVIER CHAVES,43931
0101,101,MG,COUTO DE MAGALHÃES DE MINAS,44016
0064,64,MG,CRISTAIS,44032
0088,88,MG,CRISTIANO OTONI,44075
0099,99,MG,CRISTINA,44091
0120,120,MG,CRISTÁLIA,44059
0004,4,MG,CRISÓLITA,41963
0047,47,MG,CRUCILÂNDIA,44113
0211,211,MG,CRUZEIRO DA FORTALEZA,44130
0346,346,MG,CRUZÍLIA,44156
0089,89,MG,CUPARAQUE,41980
0266,266,MG,CURRAL DE DENTRO,42005
0100,100,MG,CURVELO,44172
0078,78,MG,CÁSSIA,43010
0163,163,MG,CÓRREGO DANTA,43958
0059,59,MG,CÓRREGO DO BOM JESUS,43974
0114,114,MG,CÓRREGO FUNDO,41947
0072,72,MG,CÓRREGO NOVO,43990
0148,148,MG,CÔNEGO MARINHO,41904
0262,262,MG,DATAS,44199
0134,134,MG,DELFIM MOREIRA,44210
0078,78,MG,DELFINÓPOLIS,44237
0276,276,MG,DELTA,42021
0258,258,MG,DESCOBERTO,44253
0106,106,MG,DESTERRO DE ENTRE RIOS,44270
0025,25,MG,DESTERRO DO MELO,44296
0101,101,MG,DIAMANTINA,44318
0171,171,MG,DIOGO DE VASCONCELOS,44334
0251,251,MG,DIONÍSIO,44350
0070,70,MG,DIVINO,44393
0117,117,MG,DIVINO DAS LARANJEIRAS,44415
0283,283,MG,DIVINOLÂNDIA DE MINAS,44431
0261,261,MG,DIVINÉSIA,44377
0102,102,MG,DIVINÓPOLIS,44458
0103,103,MG,DIVINÓPOLIS,44458
0213,213,MG,DIVISA ALEGRE,40126
0055,55,MG,DIVISA NOVA,44474
0213,213,MG,DIVISÓPOLIS,40142
0329,329,MG,DOM BOSCO,42048
0267,267,MG,DOM CAVATI,44490
0083,83,MG,DOM JOAQUIM,44512
0012,12,MG,DOM SILVÉRIO,44539
0099,99,MG,DOM VIÇOSO,44555
0079,79,MG,DONA EUSÉBIA,44571
0228,228,MG,DORES DE CAMPOS,44598
0121,121,MG,DORES DE GUANHÃES,44610
0104,104,MG,DORES DO INDAIÁ,44636
0261,261,MG,DORES DO TURVO,44652
0220,220,MG,DORESÓPOLIS,44679
0181,181,MG,DOURADOQUARA,44695
0168,168,MG,DURANDÉ,40169
0281,281,MG,ELÓI MENDES,44717
0267,267,MG,ENGENHEIRO CALDAS,44733
0044,44,MG,ENGENHEIRO NAVARRO,44750
0072,72,MG,ENTRE FOLHAS,40185
0106,106,MG,ENTRE RIOS DE MINAS,44776
0107,107,MG,ERVÁLIA,44792
0108,108,MG,ESMERALDAS,44814
0303,303,MG,ESPERA FELIZ,44830
0109,109,MG,ESPINOSA,44857
0164,164,MG,ESPÍRITO SANTO DO DOURADO,44873
0300,300,MG,ESTIVA,44890
0007,7,MG,ESTRELA DALVA,44911
0104,104,MG,ESTRELA DO INDAIÁ,44938
0110,110,MG,ESTRELA DO SUL,44954
0111,111,MG,EUGENÓPOLIS,44970
0250,250,MG,EWBANK DA CÂMARA,44997
0112,112,MG,EXTREMA,45012
0008,8,MG,FAMA,45039
0069,69,MG,FARIA LEMOS,45055
0149,149,MG,FELISBURGO,45110
0100,100,MG,FELIXLÂNDIA,45136
0294,294,MG,FELÍCIO DOS SANTOS,45071
0267,267,MG,FERNANDES TOURINHO,45152
0113,113,MG,FERROS,45179
0069,69,MG,FERVEDOURO,40207
0172,172,MG,FLORESTAL,45195
0114,114,MG,FORMIGA,45217
0324,324,MG,FORMOSO,45233
0293,293,MG,FORTALEZA DE MINAS,45250
0322,322,MG,FORTUNA DE MINAS,45276
0177,177,MG,FRANCISCO BADARÓ,45292
0044,44,MG,FRANCISCO DUMONT,45314
0115,115,MG,FRANCISCO SÁ,45330
0165,165,MG,FRANCISCÓPOLIS,40223
0269,269,MG,FREI GASPAR,45357
0119,119,MG,FREI INOCÊNCIO,45373
0135,135,MG,FREI LAGONEGRO,42064
0116,116,MG,FRONTEIRA,45390
0004,4,MG,FRONTEIRA DOS VALES,49352
0244,244,MG,FRUTA DE LEITE,42080
0116,116,MG,FRUTAL,45411
0264,264,MG,FUNILÂNDIA,45438
0117,117,MG,GALILÉIA,45454
0180,180,MG,GAMELEIRAS,42102
0184,184,MG,GLAUCILÂNDIA,42129
0089,89,MG,GOIABEIRA,42145
0235,235,MG,GOIANÁ,42161
0003,3,MG,GONZAGA,45497
0205,205,MG,GONÇALVES,45470
0101,101,MG,GOUVEIA,45519
0318,318,MG,GOVERNADOR VALADARES,45535
0118,118,MG,GOVERNADOR VALADARES,45535
0119,119,MG,GOVERNADOR VALADARES,45535
0110,110,MG,GRUPIARA,45578
0120,120,MG,GRÃO MOGOL,45551
0121,121,MG,GUANHÃES,45594
0122,122,MG,GUAPÉ,45616
0225,225,MG,GUARACIABA,45632
0044,44,MG,GUARACIAMA,42188
0235,235,MG,GUARANI,45675
0125,125,MG,GUARANÉSIA,45659
0042,42,MG,GUARARÁ,45691
0295,295,MG,GUARDA-MOR,45713
0125,125,MG,GUAXUPÉ,45730
0275,275,MG,GUIDOVAL,45756
0211,211,MG,GUIMARÂNIA,45772
0284,284,MG,GUIRICEMA,45799
0141,141,MG,GURINHATÃ,45810
0159,159,MG,HELIODORA,45837
0128,128,MG,IAPU,45853
0024,24,MG,IBERTIOGA,45870
